Video_ID,Artist,Comment
6vOm3gWQinQ,블랙핑크 제니,왼쪽 양갈래 오드리닮았는데
6vOm3gWQinQ,블랙핑크 제니,오드리 닮았는데 왼쪽 댄서
H8thIAvczrU,블랙핑크 제니,"제니가 말하는 *PRETTY GIRL MANTRA* 📝

1. 목표 지향적으로 살기
2. 스스로를 사랑하기
3. 동물을 사랑하기
4. 괜한 감정 소비하지 않기
5. 잘 자기
6. 스스로에게 보상해주기!"
H8thIAvczrU,블랙핑크 제니,제니 진짜 너무 예쁘고 목소리 중독성 미쳤고… 스타일링도 완벽하다 후 제니야ㅠㅠㅠㅠㅠㅠㅠ
H8thIAvczrU,블랙핑크 제니,"아 이런 걸파워 노래들 너무 좋음ㅠ
그걸 제니가 해냈다는 것도 너무 좋아...🥹"
H8thIAvczrU,블랙핑크 제니,제니야 가사 너무 멋지다..👍
H8thIAvczrU,블랙핑크 제니,"여자들은 제니를 사랑해
여자들은 여자들을 사랑해
우리는 우리를 모두를 사랑해❤"
H8thIAvczrU,블랙핑크 제니,이렇게 좋은 그룹을 각자 활동한다고 해서 비교하고 그러는 좁은 소리 하지 말자 지금 싱글곡 낸 멤버 모두 보고 왔는데 모두가 각자의 색이 다르게 고퀄로 모두 다 잘하고 있다 비교를 가장 가까운 애들하고 하는 구린 짓 좀 그만하자 자매 친척애들하고 비교 당하고 살아서 서로 째려보게 만드는 구린 문화
H8thIAvczrU,블랙핑크 제니,1위를 보고 노래만들었다면 절때 1위 못합니다 미국식 처럼 이렇게 따라하면 미국인들눈엔 외국인이 한복입고 아리랑 부르는거랑 같은겁니다 무조건 한국식으로
H8thIAvczrU,블랙핑크 제니,남자들 여자들이 모이는거 무서워하나봄? 하긴. .. 기죽으면큰일나잖아
H8thIAvczrU,블랙핑크 제니,금발 안 어울린다 뭐라하던데 개인적으로 블핑에서 염색모 가장 잘 어울리는 멤버는 제니인 듯 어떻게 다 잘 어울리지
H8thIAvczrU,블랙핑크 제니,01:58 에 Everyone knows she is me 라고 대놓고 말하잖아요 ㅋㅋ 여자들은 말 그대로 pretty girl 이 누굴 말하는지 알고 있답니다~ 😌 남자들만 모르나봐요
H8thIAvczrU,블랙핑크 제니,아파트 듣고 들으니 너무 비교되네
H8thIAvczrU,블랙핑크 제니,못생긴 여자는 안지켜주나요 ㅜㅜ ?
H8thIAvczrU,블랙핑크 제니,와 가사가 귀에 챱챱 감긴다 사랑해 제니
H8thIAvczrU,블랙핑크 제니,차세대 현아 느낌남..
H8thIAvczrU,블랙핑크 제니,난예쁘지않아서 내가 널 지켜줄게
H8thIAvczrU,블랙핑크 제니,블핑은 다 잘하네😊😊😊 제니 멋있다. 당당하다. 자신감 있게 뮤비랑 노래 찰떡인듯 리스펙😊😊😊
H8thIAvczrU,블랙핑크 제니,이번노래 넘좋네요. 블핑 멤버 솔로곡 다요. ㅎ
H8thIAvczrU,블랙핑크 제니,일단 뮤비감독님이 차잘알인건 확실함
H8thIAvczrU,블랙핑크 제니,제니야… 진짜 졸라 이뻐졌네
H8thIAvczrU,블랙핑크 제니,지랄좀 하지마라 ㅋㅋ 남자가 보면 누가봐도 눈쌀 찌푸려질 노래인데 여자들이 나 남자인데 안그런다 이러면서 댓글달고 ㅋㅋ
H8thIAvczrU,블랙핑크 제니,뮤비 초반에 여자아이가 노래를 부르면서 다음 제니가 이어부르는 걸 시작으로 여성의 아름다움과 당당함을 보여줌. 더 우월하다는 뜻이 아니고 자기 자신을 사랑하자 이런 뜻
H8thIAvczrU,블랙핑크 제니,대한민국 페미들은 이 영상보고 반성해라 저게 진짜 걸크러쉬지
H8thIAvczrU,블랙핑크 제니,샤넬제니 샤넬제니 😻😻
H8thIAvczrU,블랙핑크 제니,곡 ㅈㄴ 좋고 제니 개꼴린다 ㅇㅇ
H8thIAvczrU,블랙핑크 제니,로제 아파트 기록이랑 비교하는 댓글이 많은데 난 오히려 제니가 로제처럼 더 대중성 있는 솔로곡을 낼 수 있는 역량이 충분히 있음에도 본인이 하고싶었던 노래를 낸 것 같아서 뚝심있어보이고 ㅈㄴ멋있음
H8thIAvczrU,블랙핑크 제니,브루노가 저렇게 장난스러운 얼굴을 하는거 귀엽다.
H8thIAvczrU,블랙핑크 제니,ㅈㄴ멋짐
H8thIAvczrU,블랙핑크 제니,노래 의미는 좋은데 여기저기 가릴 것 없이 파리가 꼬이네
H8thIAvczrU,블랙핑크 제니,진짜 1초도 안지루하네
H8thIAvczrU,블랙핑크 제니,너네들끼리 재밌게 살아라. ㅋㅋ 토 나오네
H8thIAvczrU,블랙핑크 제니,난리났네... 그냥 아파트나 들으러 가야지 에휴... 반갈라치고 답이 없다 ㅉㅉㅉㅉ
H8thIAvczrU,블랙핑크 제니,요즘 나에게 힘이 되어준 노래❤
H8thIAvczrU,블랙핑크 제니,제니가 체리 사진 올렸는데 나온다는 말이었네..
H8thIAvczrU,블랙핑크 제니,"그 진짜 궁금해서 물어보는건데요..
제니 욕하는 한심한놈들은 어디가면 볼 수 있는건가요..? 걔네 욕하는 댓글만 보이고 정작 걔네들 댓글은 보이지가 않아서요.. 남초 커뮤 가면 볼 수 있나요?? 아님 다 신고당하고 사라진거에요?"
H8thIAvczrU,블랙핑크 제니,예쁜 여자 얘기야 니네 얘기 아니야ㅋㅋㅋㅋㅋㅋ
H8thIAvczrU,블랙핑크 제니,"제니처럼 자신에게 집중하여 본인의 삶을 즐길 수 있는 여자들이 많아지길,, 
허구한 날 우리나라 사회에서 만든 미의 기준에 들어가고 싶어서 힘들게 모은 돈으로 성형, 명품만 소비하지 말고 자기 모습 그대로를 사랑하고 그 돈으로 책 읽고, 여행 다니세요. 
무엇보다 자기가 남자를 바꿀 수 있다는 생각하지 말고 자기 몸 하나 못 챙기는 남자는 바로 바로 내치길, 그건 남자 부모님이 해줘야 하는 일이지 남의 집 딸래미가 할 일이 아닙니다."
H8thIAvczrU,블랙핑크 제니,"제니는 남자에게 매달리지 않고 당당하고 자주적인 여성 이런 걸 말하고자 하는 거임. 막 탈코르셋한다면서 자기관리 개나주고 남자혐오하는 족속들과는 전혀 다름
뮤비라던지 평소 제니 행보보면 그런 쪽은 아닌 듯 과대해석 할 필요도 없고 이걸로 네들은 예쁜여자 아니잖아 ㅇㅈㄹ하면서 싸울 필요도 없음"
H8thIAvczrU,블랙핑크 제니,아 좋다
H8thIAvczrU,블랙핑크 제니,처음 들었을땐 그냥 신나고 뮤비재밌고 요즘팝이랑 다른게 없다고 생각했는데 어느새 아팥트아팥트 이러는 나 자신을 발견😂
H8thIAvczrU,블랙핑크 제니,이게 노래냐
H8thIAvczrU,블랙핑크 제니,현아가..순간 보임
H8thIAvczrU,블랙핑크 제니,어떤 장면과 표정에서 아리아나느낌도 약간 있다
H8thIAvczrU,블랙핑크 제니,이런가사였구나..
H8thIAvczrU,블랙핑크 제니,로제는 고급스러운데 왜 이건
H8thIAvczrU,블랙핑크 제니,오징어게임에 이은 한국 술게임 유행할듯
H8thIAvczrU,블랙핑크 제니,"로제의 아파트 보단 별로인듯 
뮤비 댓글 보면 앎 뭔가 제시는 남자 보단 여자를 위한 노래지만, 로제는 성별 따지지 않는다 여서 부터 뭔가 이 둘의 차이임"
H8thIAvczrU,블랙핑크 제니,이게 노래지ㅋㅋㅋㅋㅋㅋ
